"Line Number","Original Tamil Text","Transliterated Text","English Translation","Themes","Imagery","Literary Devices"
"728","அளப்பு அரிது ஆகிய குவை இருந்தோன்றல,","aḷappu aritu ākiya kuvai iruntuōṉṟala,","like the ocean where conch is abundant even","Ocean and Conch","Ocean and Conch","Imagery"
"729","கடல் கண்டன்ன மாக விசும்பின்","kaṭal kaṇṭaṉṉa māka viṉṟuṉ piṉ","when harvested, as rapid thunder roared","Thunder and Harvested Conch","Thunder and Harvest","Imagery"
"730","அழற்கொடி அன்ன மின்னு வசிபு நுடங்கக்","aḻaṟkoṭi anna miṉṉu vacibu nuṭaṅkak","flame-vine like lightning split the clouds and swayed","Lightning and Splitting Clouds","Lightning and Clouds","Imagery"
"731","கடிது இடி உருமொடு கதழ் உறை சிதறி,","kaṭitu iṭi urumotu kataḻ uṟaic citāṟi,","rain poured endlessly, and cold wind with dew","Endless Rain and Cold Wind","Rain and Dew","Imagery"
"732","விளிவு இடன் அறியா வான் உமிழ் நடுநாள்","viḷivu iṭaṉ aṟiya vāṉ uṉiḻ naṭunāḷ","distressed me at that confusing time","Confusion and Distress","Confusion","Imagery"
"733","அருங்கடிக் காவலர் இகழ் பதம் நோக்கிப்,","aruṅkaṭik kāvalar iḵaḻ patam nōkkiṉ,","I entered her father’s huge, protected house when the","Protected House and Relaxed Guards","Protected House","Imagery"
"734","பனி மயங்கு அசை வளி அலைப்பத் தந்தை","paṉi mayaṅku acai vaḷi alaiṟ pat tantai","guards relaxed. I stood on one side, and she","Relaxed Guards and Standing","Relaxed Guards","Imagery"
"735","நெடுநகர் ஒரு சிறை நின்றனென் ஆக,","neṭuṉakar oru ciṟai niṉṟaṉeṉ āka,","with hair like bright, fine sand and face as bright","Bright Hair and Face","Bright Hair and Face","Imagery"
"736","அறல் என அவிர்வரும் கூந்தல் மலர் என","aṟal eṉ avirvarum kūntal malar eṉa","as a flower, moist, whirling eyes like large petals","Moist Eyes and Large Petals","Moist Eyes","Imagery"
"737","வாள் முகத்து அலமரும் மா இதழ் மழைக் கண்,","vāḷ mukattu alamarum mā itaẕl maḻaik kaṇ,","splendidly smiling white teeth like jasmine buds","White Teeth and Jasmine Buds","White Teeth","Imagery"
"738","முகை நிரைத் தன்ன மா வீழ் வெண்பல்,","mukai niṟait taṉṉ mā vīḻ veṇpaḷ,","which bees desire, red mouth, lovely rounded bangles","Rounded Bangles and Red Mouth","Rounded Bangles","Imagery"
"739","நகை மாண்டு இலங்கும் நலங்கெழு துவர் வாய்க்","nakai māṇṭu ilaṅkum naḷaṅkeḻu tuvar vāyk","swaying on her hands, trembled like tender shoots","Swaying Bangles and Tender Shoots","Tender Shoots","Imagery"
"740","கோல் அமை விழுத் தொடி விளங்க வீசிக்","kōl amai viḻut toṭi viḷaṅka vīci","attacked by the wind, and hugged me endlessly","Attacked by Wind and Hugging","Hugging","Imagery"
"741","கால் உறு தளிரின் நடுங்கி, ஆனாது,","kāl uṟu taḷiriṉ naṭuṅki, āṉātu,","to remove my affliction.","Affliction Removal","Affliction","Imagery"
"742","நோய் அசா வீட முயங்கினள், வாய்மொழி","nōy acā vīṭa muyaṅiṉaḷ, vāymōḻi","She is difficult to attain, like the Soor goddesses","Difficulty in Attaining","Difficulty and Attainment","Imagery"
"743","நல்லிசை தரூஉம் இரவலர்க்கு உள்ளிய","nallicai tarūm iravalar kku uḷḷiya","of the mountain ranges next to the tall peaks","Mountain Ranges and Tall Peaks","Mountain Ranges","Imagery"
"744","நசை பிழைப்பு அறியாக் கழல் தொடி அதிகன்","nacai piḻaippu aṟiyāk kaḻal toṭi atikaṉ","from where gleaming waterfalls come down like the pretty","Gleaming Waterfalls","Waterfalls and Flags","Imagery"
"745","கோள் அறவு அறியாப் பயங்கெழு பலவின்","kōḷ aṟavu aṟiyāp payaṅkeḻu palaviṉ","victorious flags on the elephants of King Pasumpoon Pandiyan","Victorious Flags and King Pandiyan","King Pandiyan","Imagery"
"746","வேங்கை சேர்ந்த வெற்பகம் பொலிய,","vēṅkai cērnta veṟpakam poliya,","with an army with spears in the splendid mountains","Army with Spears","Army and Mountains","Imagery"
"747","வில் கெழு தானைப் பசும்பூண் பாண்டியன்","vil keḻu tāṉaip pacumpūṇ pāṇṭiyaṉ","with jackfruit trees that fruit endlessly, along with vēngai trees","Jackfruit Trees and Vēngai Trees","Jackfruit Trees","Imagery"
"748","களிறு அணி வெல் கொடி கடுப்பக், காண்வர","kaḷiṟu aṇi veḷ koṭi kaṭuppak, kāṇṉṟar","belonging to Athikan wearing warrior anklets, who gives generously","Generous Gifting","Generous Gifting","Imagery"
"749","ஒளிறுவன இழிதரும் உயர்ந்து தோன்று அருவி","oḷiṟuvaṉ iḻitāṟuṁ uyarṉḍu tōṉṟu aruvi","to those who come to him in need with honest words and praises","Generous and Honest","Generous and Honest","Imagery"
"750","நேர் கொள் நெடுவரை கவாஅன்","nēr koḷ neṭuvarai kavāṉ","gifting them whatever they desire without stinting.","Gifting Without Stint","Gifting","Imagery"
"751","சூரர மகளிரிற் பெறற்கு அரியோளே.","cūṟaṟa makhaḷiṟiṟ peṟaṟku ariyōḷē.","She is difficult to attain, like the Soor goddesses","Difficulty in Attainment","Attainment","Rhetorical Question"
"752","விண் அதிர்பு தலைஇய விரவு மலர் குழையத்","viṇ aṭirpu talaīya viravu malar kuḻaiyath","The sky roared, and cool clouds gathered","Sky and Clouds","Roaring Sky and Gathering Clouds","Imagery"
"753","தண் மழை பொழிந்த தாழ் பெயல் கடை நாள்,","taṇ maḻai poḻinda tāḻ peyal kaṭai nāḷ,","and rained crushing many flowers.","Rain and Flowers","Crushing Flowers","Imagery"
"754","எமியம் ஆகத் துனி உளம் கூரச்","eḻiyam ākaṟ taṉi uḷam kūraṟ","The last days of rain are here with light","Last Days of Rain","Light Rain","Imagery"
"755","சென்றோர் உள்ளிச் சில் வளை நெகிழப்,","ceṉṟōr uḷḷic cil vaḷai nekiḻap,","sprinkles. I am alone, my bangles slipping,","Slipping Bangles","Slipping Bangles","Imagery"
"756","பெரு நசை உள்ளமொடு வருதிசை நோக்கி","peru nacai uḷḷamotu varutiṣai nōkki,","with great hatred in my mind, and thinking","Hatred and Thoughts","Hatred","Imagery"
"757","விளியும் எவ்வமொடு அளியள் என்னாது","viḷiyum evvamoṭu aḷiyaḷ eṉṉātu","about the man who left giving me great sorrow.","Sorrow and Departure","Great Sorrow","Imagery"
"758","களிறு உயிர்த்தன்ன கண் அழி துவலை","kaḷiṟu uyirttaṉṉa kaṇ aḻi tuvalai","With a joyful mind and desire, I’m looking","Joyful Mind and Desire","Joyful Mind","Imagery"
"759","முளரி கரியும் முன்பனிப் பானாள்,","muḷari karīyum muṉpaṉip pāṉāḷ,","at the direction of his arrival.","Direction of Arrival","Arrival","Imagery"
"760","குன்று நெகிழ்ப்பு அன்ன குளிர் கொள் வாடை!","kuṉṟu nekiḻppu anna kuḷir koḷ vāṭai!","Not thinking, “she’s pitiful with her killer","Pitiful and Killer Distress","Killer Distress","Imagery"
"761","எனக்கே வந்தனை போறி! புனல் கால்","eṉakkē vantanai pōṟi! puṉal kāḷ","distress,” it appears you came just for me,","Came for Me","Came for Me","Imagery"
"762","அயிர் இடு குப்பையின் நெஞ்சு நெகிழ்ந்து அவிழக்,","aṉaiṟ iṭu kuṟṟaiṉ neṉcu nekiḻntu avizha,","at midnight, in this early dew season, you","Early Dew Season","Early Dew Season","Imagery"
"763","கொடியோர் சென்ற தேஎத்து மடியாது","koṭiyōr ceṉṟa tēy̱ṟu maṭiyātu","chill north wind, who can soften mountains","Chill North Wind","Chill North Wind","Imagery"
"764","இனையை ஆகிச் செல்மதி,","iṉaiyai ākiṟ ceṉmaṭi,","and burn lotus flowers with water-sprays","Burning Lotus Flowers","Burning Lotus Flowers","Imagery"
"765","வினை விதுப்புறுநர் உள்ளலும் உண்டே.","viṉai viduppuṟuṉar uḷḷalum uṇḍē.","like those sprayed by the trunks of elephants.","Elephant Trunks and Water-Sprays","Elephant Trunks","Imagery"
"766","பாகு வான் எவள் நிலைச் செய்யு கொண்டு","pāku vāṉ eṉ vaḷiṟ cuṟṟu koṇḍu","Go and blow without weakening, in the country","Blowing Wind and Weakening","Blowing Wind","Imagery"
"767","தலையினர் நோக்கார் இவளை செய்த நெஞ்சை","talaiyiṉaṉṟ nōkkār ivaḷai ceṉṟa neṉṟai","where the cruel man went, so that his heart will","Heart Softening","Heart Softening","Imagery"
"768","சிறந்த தேழரர் களவார் புடைத்தா!","ciṟanta tēḻar kaḷavār puṭaittā!","soften like fine sand moved by flowing water,","Soft Sand and Flowing Water","Soft Sand","Imagery"
"769","தாமரை மருகத் தாழ் அலைகொள்க!","tāmarai marukat tāḻ aḷaikoḷka!","and he who went to work with desire will think about me.","Desire and Thought","Desire and Thought","Imagery"
"770","நிலைப் பொருந்தா வேலின் வினை முற்றது.","nilai poruṅṟā vēlīṉ viṉai muṟṟatu.","End of a day’s work, here’s the consequence","Day's Work and Consequence","Day's Work","Imagery"
"771","கதிர் கையாக வாங்கி ஞாயிறு","kathir kāyaka vāṅki ñāyiṟu","Heavy rains have fallen, the forest has","Heavy Rains and Forest Renewal","Heavy Rains","Imagery"
"772","பைது அறத் தெறுதலின், பயன் கரந்து மாறி,","paiṟu aṟat terutaliṉ, payaṉ karantu māṟi,","regained its beauty, and the parched cracked land","Parched Land and Regained Beauty","Parched Land","Imagery"
"773","விடுவாய்ப்பட்ட வியன் கண் மா நிலம்","viṭuvāyppaṭṭa viyaṉ kaṇ mā nilam","that had lost its greenery and prosperity to the sun’s rays","Sun’s Rays and Loss of Greenery","Sun’s Rays","Imagery"
"774","காடு கவின் எதிரக் கனை பெயல் பொழிதலின்,","kāṭu kaviṉ etirak kaṇai peyal poḻitalin,","which extended like hands, has changed.","Extended Hands and Change","Extended Hands","Imagery"
"775","பொறி வரி இன வண்டு ஆர்ப்பப் பலவுடன்","poṟi vari iṉ vaṇṭu āṟppaṟṟa palavuṭaṉ","Swarms of bees with spots and stripes buzz,","Bees and Stripes","Swarms of Bees","Imagery"
"776","நறுவீ முல்லையொடு தோன்றி தோன்ற,","naṟuvī mullaiyoṭu tōṉṟi tōṉṟa,","fragrant mullai, kānthal and other flowers appear,","Fragrant Flowers","Fragrant Flowers","Imagery"
"777","வெறி ஏன்றன்றே வீ கமழ் கானம்,","veṟi ēṉṟaṉṟē vī kamaz kaṉam,","and the forest is filled with fragrance.","Fragrant Forest","Fragrant Forest","Imagery"
"778","எவன் கொல் மற்று அவர் நிலை என மயங்கி,","evaṉ koḷ maṟṟu avar nilai eṉa mayaṅki,","Look! This is a good time for her to regain her","Good Time for Beauty","Good Time for Beauty","Imagery"
"779","இகு பனி உறைக்கும் கண்ணொடு இனைபு ஆங்கு","iṉu paṉi uṟaikkum kaṇṇoṭu iṉaipu āṅku","prior beauty, my wife who is confused and worried","Confused Wife and Beauty","Confused Wife","Imagery"
"780","இன்னாது உறைவி தொன்னலம் பெறூஉம்","iṉṉātu uṟaivi tōṉṉaṉam peṟūm","about what will happen to me, crying with sorrow","Sorrow and Tears","Sorrow and Tears","Imagery"
"781","இது நற் காலம் கண்டிசின், பகைவர்","itu naṟ kaālam kaṇṭiṉ, pakaivar","as her tears drop, if the work of the enraged king","Enraged King’s Work","Enraged King’s Work","Imagery"
"782","மதில் முகம் முருக்கிய தொடி சிதை மருப்பின்","maṭil mukam muṟukkiya toṭi cithai maruppiṉ","with elephants that break the bases of their posts","Elephants Breaking Gates","Elephants Breaking Gates","Imagery"
"783","கந்து கால் ஒசிக்கும் யானை","kaṇṭu kāḷ ociṟṟum yāṉai","and break enemy fortress gates ruining their tusk rings, ends.","Breaking Gates and Tusk Rings","Breaking Gates","Imagery"
"784","வெஞ்சின வேந்தன் வினை விடப்பெறினே.","veñciṉ vēṇṭaṉ viṉai viṭappeṟiṉē.","","Enraged King’s Work Ends","Enraged King’s Work Ends","Imagery"
"785","கயந்தலை மடப்பிடி பயம்பில் பட்டெனக்","kayan talai maṭappiṭi payampil paṭṭeṉak","The fine young woman went past many countries,","Travel and Exploration","A journey through different lands and cultures","Metaphor"
"786","களிறு விளிப்படுத்த கம்பலை வெரீஇ,","kaḷiṟu viḷippāṭutta kambalai veṟīī,","and through an ancient town with pollen dust on","Historical and Cultural Memory","Ancient towns and their dusty, historical significance","Imagery"
"787","ஒய்யென எழுந்த செவ்வாய்க் குழவி","oyyeṉa eḻunda cevvāykk kuḻavi","the streets, where a young cow elephant with a","Natural World","The streets with a young cow elephant","Symbolism"
"788","தாது எரு மறுகின் மூதூர் ஆங்கண்,","tātu eṟu maṟukiṉ mūthūr āṅkaṇ,","tender head fell into a pit, its mate trumpeted in","Loss and Sorrow","The scene of a tender head falling into a pit","Metaphor"
"789","எருமை நல் ஆன் பெறு முலை மாந்தும்","eṟumai nal āṉ peṟu mulai māntuṁ","fear, and afraid of the uproar, their calf with a","Fear and Concern","A calf frightened and its reaction","Imagery"
"790","நாடு பல இறந்த நன்னராட்டிக்கு","nāṭu pala iṟanta naṉṉaṟāṭṭikku","red mouth rose up rapidly and drank milk from the","Maternal Care","A calf drinking milk in haste","Symbolism"
"791","ஆயமும் அணி இழந்து அழுங்கின்று, தாயும்","āyamuṁ aṇi iḻantu azhuṅkiṉṟu, tāyum","breasts of a fine female buffalo.","Parental Grief","A mother’s grief and concern for her calf","Imagery"
"792","“இன் தோள் தாராய், இறீஇயர் என் உயிர்!” எனக்","“iṉ tōḷ tāṟāy, iṟīīyar eṉ uyir!” eṉak","Her friends have lost their beauty and are","Friendship and Loss","Loss of beauty and the end of friendship","Metaphor"
"793","கண்ணும் நுதலும் நீவித், தண்ணெனத்","kaṇṇum nudalum nīvit, taṇṇeṉat","distressed. Her mother says, “May my life end!”","Despair and Helplessness","A mother’s despair and distress","Hyperbole"
"794","தடவு நிலை நொச்சி வரி நிழல் அசைஇத்,","taṭavu nilai noṭṭi vari niḻal acaiit,","and strokes her daughter’s doll on its eyes and brow.","Maternal Care and Sorrow","The act of caring for a doll as a symbol of affection","Imagery"
"795","தாழிக் குவளை வாடு மலர் சூட்டித்","tāḻik kuvaḷai vāḍu malar sūṭṭit","“Give me your sweet shoulder” she says to it, and","Request for Comfort","A plea for comfort and affection","Symbolism"
"796","“தருமணல் கிடந்த பாவை என்","“tarumaṇal kiṭanta pāvai eṉ","places it on the sand in the striped shade of a bent","Maternal Affection","Placing the doll in a nurturing environment","Imagery"
"797","அரு மகளே” என முயங்கினள் அழுமே.","aru makaḷē” eṉa muyaṅkiṉaḷ azhumē.","nochi tree, adorns it with faded blue lilies from a large urn, calls it her precious daughter, and hugs it as she cries.","Maternal Love and Grief","Decorating and caring for a doll with affection","Imagery"
"798","நல் மரம் குழீஇய நனை முதிர் சாடி","nal maram kuḻīiyaṉaṉai mudir sāṭṭi","May you live long, my friend! I wonder who he is, the man who","Friendship and Wonder","Wishing for a friend's longevity and reflecting on someone's identity","Metaphor"
"799","பல் நாள் அரித்த கோஒய் உடைப்பின்,","pal nāḷ aritta kōṉṉi uṭaippin,","played with us yesterday in the Kāviri as new flood waters rose to its banks,","Nostalgia and Floods","Recalling past events during a flood","Imagery"
"800","மயங்கு மழைத் துவலையின் மறுகுடன் பனிக்கும்","maiyuṅku maḻait tuvālaiyiṉ maṟukuṭaṉ paṉikkum","when we wore wet clothes and desired union, embracing the head of the raft,","Longing and Adversity","Desire for connection during a flood","Metaphor"
"801","பழம் பல் நெல்லின் வேளூர் வாயில்,","paḻam pal neḷḷiṉ vēḷūr vāyil,","adorned with ornaments, like a bull elephant decorated with flower garlands,","Celebration and Beauty","Decorated bull elephant as a symbol of festivity","Simile"
"802","நறுவிரை தெளித்த நாறு இணர் மாலைப்","naṟuvīṟai teḷitta nāṟu iṇaṟ mālaip","who told his doubting wife with beautiful dark hair that it was not him with another woman,","Trust and Doubt","Addressing doubts about fidelity","Imagery"
"803","பொறி வரி இன வண்டு ஊதல கழியும்","poṟi vari iṉ vaṇḍu ūtala kaḻiyum","and that if he lied he would be punished by the fierce god","Fear and Consequence","Fear of divine punishment for infidelity","Hyperbole"
"804","உயர் பலி பெறூஉம் உருகெழு தெய்வம்,","uyar pali peṟūm urukeḻu teyvam,","of the water tank shores, who receives offerings of garlands with clusters of","Devotion and Reverence","Offerings to a divine figure","Imagery"
"805","புனை இருங்கதுப்பின் நீ கடுத்தோள் வயின்","puṉai iṟuṅkatuppiṉ nī kaṭuṭṭōḷ vaiyin","flowers with fragrant scents that bees with spots and stripes do not swarm,","Purity and Ritual","Garlands offered to a deity","Imagery"
"806","அனையேன் ஆயின் அணங்குக என், என","aṉaiyēṉ āyiṉ aṇaṅkuka eṉ, eṉa","in Vēlur town with ancient paddy fields, where liquor filtered for many days and","Social Commentary","Life in ancient towns and the role of liquor","Imagery"
"807","மனையோள் தேற்றும் மகிழ்நன் ஆயின்","maṉaiyōḷ tēṟṟum makiḻṉaṉ āyiṉ","aged, scatters like raindrops on the streets with many fine trees,","Social Life and Aging","Describing the effects of aging and societal changes","Simile"
"808","யார் கொல்? வாழி தோழி! நெருநல்","yār koḷ? vāḻi tōḻi! nerunal","when the liquor measuring bowl breaks the jar! Who is he? May you live long, my friend!","Friendship and Celebration","Celebration amidst social festivities","Imagery"
"809","தார் பூண் களிற்றின் தலைப் புணை தழீஇ","tār pūṇ kaḷiṟṟiṉ talaiṉ puṇai taḻīī","decorated with garlands, and with his bull elephant’s head adorned with flowers, shining like a blooming","Celebration and Nature","Bull elephant adorned with flowers","Simile"
"810","வதுவை ஈர் அணிப் பொலிந்து, நம்மொடு","vatuvai īr aṇip poḷiṉṟu, nammoṭu","the bride, with her dark hair, embracing us as she shines with love,","Love and Union","A bride embracing in a radiant display of affection","Imagery"
"811","புதுவது வந்த காவிரிக்","putuvatuvandha kāvērik","in the Kāviri, where the floodwaters have risen,","Nature’s Fury","Floodwaters in the Kāviri","Imagery"
"812","கோடு தோய் மலிர் நிறை ஆடியோரே.","kōṭu tōy malir niṟai āṭiyōṟē.","and the garlanded men dance, shining with pride.","Celebration and Joy","Dancing men adorned with garlands","Imagery"
"813","புகலும் புவி பணியவள் சொல்லு நாதன்","pukalum puvi paṇiyavaḷ sollu nātaṉ","The lord of the land, who is busy with responsibilities, speaks with respect and says,","Respect and Duty","The lord speaking with respect amidst responsibilities","Imagery"
"814","பரிகல் போம் மேல் நல் தொட்டுவம்","parikaḷ pōm mēl nal toṭṭuvam","When we see these good things of joy,","Joy and Appreciation","Experiencing joy and appreciation of good things","Imagery"
"815","கலை யினும் வாயில்பீயினர் சேர்த்தல்","kalai yiṉum vāyilpīyiṉar cērttal","the bliss of the dance and the embrace of the people","Community and Celebration","Bliss in community celebrations and dance","Imagery"
"816","எட்டும் புகழின் மலைப் பரிகல பரிசு","eṭṭum pugazhyiṉ malaiṟ parikaḷ paricu","enjoyment of high honor and respect.","Respect and Honor","High honor and the respect it brings","Imagery"
"817","ஆணி வரும் அணி செய் தமையே","āṇi varum aṇi ceṉṟ tamaiyē","My dear ones, embrace us as we face the changing seasons","Seasons and Change","Embracing loved ones through changing seasons","Imagery"
"818","தந்தை தரப் புற்பாடு தாளு ஓர்,","tantai tarappa puṟpāṭṭu tāḷu ōr,","the father gave the boy a new drum from a distant place.","Gifts and Tradition","Receiving a traditional gift from afar","Imagery"
"819","பிரை பூதிகள் புணர்வர் பணியவை,","pirai pūtikaḷ puṇarvar paṇiyavai,","The moonlight and the auspicious gathering","Auspiciousness and Celestial Bodies","Moonlight as a sign of auspicious gatherings","Imagery"
"820","மயில் நலம் நேர்ப்புயோம் அண்டியும்ச்","mayil nalam nērppuyēṉ aṇṭiyum̱c","and the peacock that shines with its feathers","Nature and Beauty","Peacock’s beauty and its radiance","Imagery"
"821","மரு பொலிந்து நீர் உடைத்து, நானும்","maru poḷiṉṟu nīr uṭaiccu, nāṉum","like the peacock, let the light shine brightly,","Nature’s Radiance","Radiance and beauty like the peacock","Simile"
"822","புகழின் நிறம் சாய்வு மறுத்தோம்","pukal yiṉ niṟam sāyvuk maṟuttōm","turn to the color of praise and success.","Success and Praise","Color of success and achievement","Imagery"
"823","தருவாய நரிதே கூறும் பறவை","taruvāya naritē kūṟum paṟavai","the birds speak about the auspicious days","Auspiciousness and Nature","Birds talking about auspicious times","Imagery"
"824","முடையோ வீடும் பங்கற்கில் நீறு,","muṭaiyō vīṭum paṅkaṟkil nīṟu,","the house and the settlement become sacred on auspicious days,","Sacredness and Community","Transforming spaces into sacred ones","Imagery"
"825","செய்திரு பரிக்கினால் தார் போல,","ceyttiṟu parikkiṉāl tāṟ pōla,","the righteous lord’s actions, like those of an honorable king,","Righteousness and Kingship","Comparing righteous actions to those of a king","Simile"
"826","தலையுறையில் நரகர் கல்வார் தருபின்,","talaiyuṟaiyil narakar kalvāṟ tarupiṉ,","in the head-dress of the evil king,","Evil and Corruption","Evil king’s head-dress","Imagery"
"827","தாகி நூல் பொக்கார் மறுபடியும்","tāki nūl pokkār maṟupadiyum","with the noble attire and the book,","Nobility and Learning","Noble attire and education","Imagery"
"828","தொண்டி இறை பூர்வம் பணி மொழிக்கி","toṇṭi iṟai pūrvam paṇi moḻikki","practicing worship with the purest words,","Worship and Purity","Worship with pure and sincere words","Imagery"
"829","தொடக்குன் ஆகிய தருமாயோமின்,","toṭakkun ākiya tarumāyōmiṉ,","on the pure and perfect rituals,","Purity and Rituals","Perfect and pure rituals","Imagery"
"830","எளிய வரிசை மறுப்பு தாரம்","eḷiya varicai maṟuppu tāram","and the humble thread that binds,","Simplicity and Tradition","The simplicity of a binding thread","Imagery"
"831","ஐய நெடுநாள் தவமாகும் அலைக்காண,","aiya neṭu nāḷ tavamāhum alaiyāṉa","the long journey of penance in the ocean,","Penance and Journey","Long journey of penance","Imagery"
"832","தானே மழை திரவிய நீர் அருளு","tāṉē maḻai tiraviya nīr aruḷu","the rain from the heavens, the liquid gift,","Divine Blessings","Heavenly rain as a divine gift","Imagery"
"833","சாலம் போல ஓர் துவசம்","cālam pōla ōr tuvacam","like a flowing river, a blessed time,","Blessings and Time","Blessed and flowing time","Simile"
"834","தலைவாய் வழி பெய்திருக்க, புளியங்கான்","talaiyāvāy vaḻi peytirukka, puḷiyaṅkāṉ","with its red and yellow hues,","Colors and Nature","Colors in nature","Imagery"
"835","அறுபதச் சிறந்த தும்பிதான் காப்பர்","aṟupatac ciṟanta tumpitāṉ kāppaṟ","the skilled guardians of the river,","Guardianship and Nature","Guardians of the river","Imagery"
"836","புன்மையால் அணுமின் சூழ் கூழை,","puṉmaiyāl aṇumiṉ cūḻ kūḻai,","with pure love, adorned with clear water,","Purity and Adornment","Adorning with pure and clear water","Imagery"
"837","படர் குறி சாலால் மேலானது,","paṭar kuṟi cāḷāl mēlāṉatu,","the goal that has been achieved with hard work,","Achievement and Hard Work","Achieving goals through effort","Imagery"
"838","மனக்கிளி குன்றிலும் தட்டுதே,","maṉakkiḷi kuṉṟiṉum taṭṭutē,","and the heart’s delight is the chief,","Delight and Leadership","Heart’s delight and leadership","Imagery"
"839","ஊமை ஆர்ந்தழுத்து காத்திட,","ūmai āṟntazuttuk kāttida,","the tongue that waits for the fruit,","Anticipation and Reward","Waiting for the fruit of one's efforts","Imagery"
"840","கைசூளப் பங்கை செய் புரிந்திடும்,","kai cūḷaṟ paṅkai cey puṟiṉṭiṭum,","the act of protection and care for the hand’s toil,","Protection and Care","Caring for one's labor","Imagery"
"841","நடைமுறை சூடென்று வாழ்ந்து,","naṭaimuṟai cūṭeṉṟu vāḻntu,","living with decorum and righteousness,","Righteousness and Conduct","Living with righteousness","Imagery"
"842","கேலேவின் வீறு அழுஞ்சொல்லு,","kēlēviṉ vīṟu azhuñcolu,","speaks of the heroism of the past,","Heroism and Legacy","Heroism of the past","Imagery"
"843","நாற்பதெம் பிறந்த பாசியர் என்றோ,","nāṟpatēm piṟanta pāciyar eṉṟō,","and the noble birth of the descendants","Nobility and Heritage","Noble lineage and heritage","Imagery"
"844","எண்பதக் காப்பு சல்லல் மாலயும்","eṇpataṟk kāppu callal mālayum","the protective care and the garland of blessings,","Protection and Blessings","Garland of protection and blessings","Imagery"
"845","செய்தி கொடுப்ப பசு சொல்லும் வார்த்தை","ceyti koṭuppa pasu collum vāṟttai","the words of the cow that bestows gifts","Gifts and Gratitude","Words of a cow as a symbol of gifts","Imagery"
"846","போர்தனை பயந்தார் தம்அது ஆடி","pōrtāṉai payantār tamatu āṭi","those who fear conflict dance in joy,","Joy and Conflict","Joy as a reaction to fear of conflict","Imagery"
"847","தீட்டும் பயந்தவர் ஆற்று வார்மேல்","tīṭṭum payantavar āṟṟu vārmēl","and those who are afraid of the flame of conflict","Fear and Conflict","Fear of conflict’s consequences","Imagery"
"848","அந்தைப் பின்நானி முறை சாப்பிடுமோ,","antaip piṉnāṉi muṟai cāppiṭumō,","those who follow the old ways of the ancestors","Tradition and Heritage","Following ancestral traditions","Imagery"
"849","கோயிலே யுதன்தலர் பிறவிடு","kōyilē yutantalar piṟaviṭu","in the temple, those of virtuous conduct shall live on","Virtue and Sacred Spaces","Virtue in sacred spaces","Imagery"
"850","குருதி புகட்டே அற்றிடும் பாகம்","kuruṭi puṭaṭṭē aṟṟiṭum pākam","the sacred blood that purifies and heals","Purification and Healing","Sacred blood’s purifying quality","Imagery"
"851","நற்றிணை யாகிச் செய்தேல் ஒருவன்","naṟṟiṇai yākiṉ ceytēṉ oruvaṉ","one who does good deeds and lives virtuously","Virtue and Deeds","Living virtuously and doing good deeds","Imagery"
"852","வல்லவரே நினைவு நன்குறிய","vallavarē niṉaivu naṉkuṟiya","and the remembrance of the wise, who have been remembered well,","Remembrance and Wisdom","Remembrance of the wise","Imagery"
"853","கேட்டு அறி ஆவியால் கூறுவன்","kēṭṭu aṟi āviyāl kūṟuvaṉ","one who speaks with understanding and awareness","Understanding and Awareness","Speaking with understanding","Imagery"
"854","பரிசின் அறியப் போய் பயன்","pariciṉ aṟiyap pōy paṇaṉ","the reward that comes from understanding and effort","Reward and Effort","Reward from effort and understanding","Imagery"
"855","எதிர்வரும் பணிந்துகொள்ளும் இலக்கினோ,","etirvarum paṇintukoḷḷum ilakkiṉō,","the future that honors the ideal","Honor and Ideal","Future honoring the ideal","Imagery"
"856","அழியுமென் பேதிதற்கே தனியலாக","aḻiyumeṉ pētiṟaṟkē taṉiyalāka","and the distinction that sets apart,","Distinction and Individuality","Distinction that sets apart","Imagery"
"857","கலந்தாரைச் சொல்லல் இசையும் ஆண்","kalantāraic collaḷ isaiyum āṇ","the harmonious song of those who gather together","Harmony and Unity","Harmony of those who gather","Imagery"
"858","முடை இட்ட கற்பிலர் சோலியான்","muṭai iṭṭa kaṟṟilār cōliyāṉ","the wearer of the crown who is the wise one","Wisdom and Authority","Wise ruler wearing the crown","Imagery"
"859","புரிகச் சூன்யம் பல்லி நாயின்","puṟika cūṉyam paḷḷi nāyiṉ","the knowledge that is empty without wisdom","Knowledge and Wisdom","Knowledge lacking wisdom","Imagery"
"860","இரண்டு ஆல் பாசித் தானும் பாரிகொள்","iraṇṭu āl pāciṯ tāṉum pārikkoḷ","even two people’s efforts and affection are worthy","Effort and Affection","Value of collective effort","Imagery"
"861","தகைமையுங் கைந்து நீங்கச் செய் விரைந்து","takaimaiyuṅ kaiṉṟu nīṅkac cey viṟaintu","performing duties with diligence and speed,","Diligence and Duty","Diligence in performing duties","Imagery"
"862","சிறப்பு ஞானமாய்ப் பிறந்துமிறு","ciṟappu ñāṉamāyp piṟantumiṟu","excellence that is born of knowledge","Excellence and Knowledge","Excellence achieved through knowledge","Imagery"
"863","பொய்யுறு வாமையே வெப்பத்தால்","poiyyuṟu vāmaiyē veppattāl","the lie that stands out in the heat","Deception and Truth","Lie exposed by heat","Imagery"
